Type,Rate,F1 Score
capitalization_swap,0.0,0.7454087144400433
capitalization_swap,0.1,0.6843093428699151
capitalization_swap,0.2,0.6221434898139947
capitalization_swap,0.3,0.5685962117188883
capitalization_swap,0.4,0.5156388054426576
character_swap,0.0,0.7454087144400433
character_swap,0.05,0.745161580700333
character_swap,0.075,0.7438343834383438
character_swap,0.1,0.7024261138067931
character_swap,0.125,0.6306958671847404
character_swap,0.15,0.5654635527246992
character_swap,0.17,0.5027991602519243
character_swap,0.2,0.44093942282693477
character_removal,0.0,0.7454087144400433
character_removal,0.05,0.745161580700333
character_removal,0.075,0.7439013412548383
character_removal,0.1,0.6987421936845809
character_removal,0.125,0.6165386991439413
character_removal,0.15,0.5395340628309214
character_removal,0.17,0.46422614344658064
character_removal,0.2,0.3995087288358628
character_replacement,0.0,0.7454087144400433
character_replacement,0.05,0.745161580700333
character_replacement,0.075,0.7439013412548383
character_replacement,0.1,0.7021577644145737
character_replacement,0.125,0.6171833480956599
character_replacement,0.15,0.5381547460781706
character_replacement,0.17,0.46276923076923077
character_replacement,0.2,0.39241839241839244
