Noise Type,Noise Rate,F1 Score
capitalization_swap,0.0,0.7551676619200735
capitalization_swap,0.1,0.6914080486232618
capitalization_swap,0.2,0.6204852750509353
capitalization_swap,0.3,0.5710560625814862
capitalization_swap,0.4,0.509347967630918
character_swap,0.0,0.7551676619200735
character_swap,0.05,0.7551676619200735
character_swap,0.075,0.7545713498116328
character_swap,0.1,0.7152329911890272
character_swap,0.125,0.6364139457664638
character_swap,0.15,0.5528607547523177
character_swap,0.17,0.46753734849196654
character_swap,0.2,0.3838933733808898
character_removal,0.0,0.7551676619200735
character_removal,0.05,0.7551676619200735
character_removal,0.075,0.7546406910494394
character_removal,0.1,0.711461733768589
character_removal,0.125,0.6166219839142091
character_removal,0.15,0.5212746016869728
character_removal,0.17,0.4122699386503067
character_removal,0.2,0.32349602724177073
character_replacement,0.0,0.7551676619200735
character_replacement,0.05,0.7551676619200735
character_replacement,0.075,0.7546406910494394
character_replacement,0.1,0.7146763901549681
character_replacement,0.125,0.6168415188933246
character_replacement,0.15,0.520584079133302
character_replacement,0.17,0.41009642654566086
character_replacement,0.2,0.31852899575671856
