Type,Rate,F1 Score
capitalization_swap,0.1,0.6818524096385543
capitalization_swap,0.15,0.648643592142189
capitalization_swap,0.2,0.6174559834290556
capitalization_swap,0.25,0.588179936006023
capitalization_swap,0.3,0.5601655847210463
character_swap,0.1,0.7201587751630282
character_swap,0.15,0.5345558513260377
character_swap,0.2,0.36114445778311327
character_swap,0.25,0.2907204385277996
character_swap,0.3,0.2744905956112853
character_removal,0.1,0.7162852279175337
character_removal,0.15,0.5013418149289335
character_removal,0.2,0.2887700534759359
character_removal,0.25,0.22147318330524438
character_removal,0.3,0.2243065256435841
character_replacement,0.1,0.715988647114475
character_replacement,0.15,0.4987090367428004
character_replacement,0.2,0.28709970704111526
character_replacement,0.25,0.22012020888757516
character_replacement,0.3,0.2196372239747634
