Noise Type,Noise Rate,F1 Score
capitalization_swap,0.1,0.6900822626860154
capitalization_swap,0.15,0.6525071567088375
capitalization_swap,0.2,0.6288152889878468
capitalization_swap,0.25,0.5983461860076188
capitalization_swap,0.3,0.5697196261682242
character_swap,0.1,0.7155563623162098
character_swap,0.15,0.5498596819457439
character_swap,0.2,0.38187096170053375
character_swap,0.25,0.31851435002813727
character_swap,0.3,0.3046009389671362
character_removal,0.1,0.7107363075807037
character_removal,0.15,0.5205967908417003
character_removal,0.2,0.3176548213780752
character_removal,0.25,0.25994236311239194
character_removal,0.3,0.25998071359691416
character_replacement,0.1,0.7140775814969951
character_replacement,0.15,0.5203803068812953
character_replacement,0.2,0.31799321010939263
character_replacement,0.25,0.25198052877732174
character_replacement,0.3,0.2515027192061826
