Noise Type,Noise Rate,F1 Score
capitalization_swap,0.1,0.630068115471943
capitalization_swap,0.15,0.5966123464718631
capitalization_swap,0.2,0.5613052867311845
capitalization_swap,0.25,0.5388609313842958
capitalization_swap,0.3,0.5055992375506314
character_swap,0.1,0.6576454668470907
character_swap,0.15,0.4831329972857697
character_swap,0.2,0.3212821468505404
character_swap,0.25,0.26944444444444443
character_swap,0.3,0.2589006188569349
character_removal,0.1,0.6516354398221657
character_removal,0.15,0.4555324555324556
character_removal,0.2,0.27672490376073444
character_removal,0.25,0.22875912408759122
character_removal,0.3,0.2267875420383097
character_replacement,0.1,0.6533959710168007
character_replacement,0.15,0.4545595054095827
character_replacement,0.2,0.2743623765295592
character_replacement,0.25,0.22410642496893501
character_replacement,0.3,0.22472238457042665
